delivery_id,match_id,bowler_id,batsman_id,timestamp,x,y,z,frame_number,is_hawkeye_prediction
D1,12345,B1,BT10,2025-04-22 23:12:57.945848,0.088,2.022,0.006,1,False
D1,12345,B1,BT10,2025-04-22 23:12:57.965848,0.289,1.989,0.413,2,False
D1,12345,B1,BT10,2025-04-22 23:12:57.985848,0.587,2.052,0.829,3,False
D1,12345,B1,BT10,2025-04-22 23:12:58.005848,0.249,2.031,1.247,4,False
D1,12345,B1,BT10,2025-04-22 23:12:58.025848,0.09,2.076,1.659,5,False
D1,12345,B1,BT10,2025-04-22 23:12:58.045848,0.115,2.075,2.026,6,False
D1,12345,B1,BT10,2025-04-22 23:12:58.065848,0.443,2.127,2.485,7,False
D1,12345,B1,BT10,2025-04-22 23:12:58.085848,0.022,2.071,2.874,8,False
D1,12345,B1,BT10,2025-04-22 23:12:58.105848,0.461,2.18,3.298,9,False
D1,12345,B1,BT10,2025-04-22 23:12:58.125848,0.715,2.103,3.698,10,False
D1,12345,B1,BT10,2025-04-22 23:12:58.145848,0.52,2.072,4.112,11,False
D1,12345,B1,BT10,2025-04-22 23:12:58.165848,0.07,2.121,4.529,12,False
D1,12345,B1,BT10,2025-04-22 23:12:58.185848,0.571,2.112,4.937,13,False
D1,12345,B1,BT10,2025-04-22 23:12:58.205848,0.452,2.182,5.319,14,False
D1,12345,B1,BT10,2025-04-22 23:12:58.225848,0.892,2.095,5.742,15,False
D1,12345,B1,BT10,2025-04-22 23:12:58.245848,0.552,2.331,6.153,16,False
D1,12345,B1,BT10,2025-04-22 23:12:58.265848,0.496,2.102,6.598,17,False
D1,12345,B1,BT10,2025-04-22 23:12:58.285848,0.709,2.205,6.954,18,False
D1,12345,B1,BT10,2025-04-22 23:12:58.305848,0.096,2.448,7.416,19,False
D1,12345,B1,BT10,2025-04-22 23:12:58.325848,0.653,2.437,7.828,20,False
D1,12345,B1,BT10,2025-04-22 23:12:58.345848,0.215,2.265,8.227,21,False
D1,12345,B1,BT10,2025-04-22 23:12:58.365848,0.892,2.064,8.595,22,False
D1,12345,B1,BT10,2025-04-22 23:12:58.385848,0.739,2.117,9.004,23,False
D1,12345,B1,BT10,2025-04-22 23:12:58.405848,0.366,2.208,9.439,24,False
D1,12345,B1,BT10,2025-04-22 23:12:58.425848,1.041,1.904,9.857,25,False
D1,12345,B1,BT10,2025-04-22 23:12:58.445848,0.656,1.999,10.286,26,False
D1,12345,B1,BT10,2025-04-22 23:12:58.465848,0.69,1.801,10.7,27,False
D1,12345,B1,BT10,2025-04-22 23:12:58.485848,0.647,1.788,11.07,28,False
D1,12345,B1,BT10,2025-04-22 23:12:58.505848,0.735,1.909,11.488,29,False
D1,12345,B1,BT10,2025-04-22 23:12:58.525848,0.676,1.654,11.932,30,False
D1,12345,B1,BT10,2025-04-22 23:12:58.545848,0.722,1.73,12.317,31,True
D1,12345,B1,BT10,2025-04-22 23:12:58.565848,0.732,1.552,12.71,32,True
D1,12345,B1,BT10,2025-04-22 23:12:58.585848,0.757,1.613,13.157,33,True
D1,12345,B1,BT10,2025-04-22 23:12:58.605848,0.787,1.584,13.525,34,True
D1,12345,B1,BT10,2025-04-22 23:12:58.625848,0.771,1.377,13.954,35,True
D1,12345,B1,BT10,2025-04-22 23:12:58.645848,0.798,1.367,14.388,36,True
D1,12345,B1,BT10,2025-04-22 23:12:58.665848,0.782,1.406,14.767,37,True
D1,12345,B1,BT10,2025-04-22 23:12:58.685848,0.842,1.212,15.191,38,True
D1,12345,B1,BT10,2025-04-22 23:12:58.705848,0.846,1.238,15.597,39,True
D1,12345,B1,BT10,2025-04-22 23:12:58.725848,0.851,1.179,16.018,40,True
D1,12345,B1,BT10,2025-04-22 23:12:58.745848,0.834,1.123,16.441,41,True
D1,12345,B1,BT10,2025-04-22 23:12:58.765848,0.866,0.994,16.861,42,True
D1,12345,B1,BT10,2025-04-22 23:12:58.785848,0.88,0.933,17.261,43,True
D1,12345,B1,BT10,2025-04-22 23:12:58.805848,0.905,0.832,17.655,44,True
D1,12345,B1,BT10,2025-04-22 23:12:58.825848,0.882,0.817,18.041,45,True
D1,12345,B1,BT10,2025-04-22 23:12:58.845848,0.913,0.762,18.464,46,True
D1,12345,B1,BT10,2025-04-22 23:12:58.865848,0.911,0.643,18.864,47,True
D1,12345,B1,BT10,2025-04-22 23:12:58.885848,0.956,0.628,19.282,48,True
D1,12345,B1,BT10,2025-04-22 23:12:58.905848,0.98,0.582,19.688,49,True
D1,12345,B1,BT10,2025-04-22 23:12:58.925848,0.975,0.517,20.115,50,True
D2,12345,B1,BT4,2025-04-22 23:12:57.945958,-0.653,1.983,-0.005,1,False
D2,12345,B1,BT4,2025-04-22 23:12:57.965958,-0.114,1.995,0.391,2,False
D2,12345,B1,BT4,2025-04-22 23:12:57.985958,-0.207,2.023,0.81,3,False
D2,12345,B1,BT4,2025-04-22 23:12:58.005958,-0.269,2.048,1.239,4,False
D2,12345,B1,BT4,2025-04-22 23:12:58.025958,-0.005,2.063,1.669,5,False
D2,12345,B1,BT4,2025-04-22 23:12:58.045958,-0.469,2.054,2.067,6,False
D2,12345,B1,BT4,2025-04-22 23:12:58.065958,-0.354,2.052,2.438,7,False
D2,12345,B1,BT4,2025-04-22 23:12:58.085958,0.186,2.08,2.888,8,False
D2,12345,B1,BT4,2025-04-22 23:12:58.105958,-0.272,2.164,3.256,9,False
